Price,adj close,close,high,low,open,volume
Ticker,es=f,es=f,es=f,es=f,es=f,es=f
Datetime,,,,,,
2025-11-21 09:01:00-05:00,6587.5,6587.5,6589.5,6585.5,6589.0,1420
2025-11-21 09:02:00-05:00,6591.25,6591.25,6591.5,6587.5,6587.75,964
2025-11-21 09:03:00-05:00,6588.75,6588.75,6591.25,6587.5,6591.25,713
2025-11-21 09:04:00-05:00,6586.25,6586.25,6589.25,6586.0,6588.75,633
2025-11-21 09:05:00-05:00,6584.75,6584.75,6586.25,6584.25,6586.25,848
2025-11-21 09:06:00-05:00,6585.75,6585.75,6587.25,6584.75,6584.75,882
2025-11-21 09:07:00-05:00,6585.75,6585.75,6587.5,6584.5,6585.75,812
2025-11-21 09:08:00-05:00,6589.0,6589.0,6589.5,6585.75,6585.75,848
2025-11-21 09:09:00-05:00,6592.0,6592.0,6593.0,6589.25,6589.25,1268
2025-11-21 09:10:00-05:00,6593.5,6593.5,6594.0,6590.75,6592.25,697
2025-11-21 09:11:00-05:00,6590.0,6590.0,6594.25,6588.75,6593.5,797
2025-11-21 09:12:00-05:00,6592.25,6592.25,6592.75,6589.0,6590.0,726
2025-11-21 09:13:00-05:00,6588.75,6588.75,6592.5,6588.25,6592.0,935
2025-11-21 09:14:00-05:00,6589.25,6589.25,6590.5,6588.0,6588.75,733
2025-11-21 09:15:00-05:00,6586.75,6586.75,6589.0,6586.5,6589.0,739
2025-11-21 09:16:00-05:00,6587.25,6587.25,6587.75,6585.75,6587.0,786
2025-11-21 09:17:00-05:00,6585.25,6585.25,6588.25,6584.5,6587.25,845
2025-11-21 09:18:00-05:00,6585.25,6585.25,6586.25,6584.75,6585.25,585
2025-11-21 09:19:00-05:00,6584.5,6584.5,6587.25,6584.25,6585.25,472
2025-11-21 09:20:00-05:00,6583.25,6583.25,6585.75,6583.25,6584.75,877
2025-11-21 09:21:00-05:00,6581.0,6581.0,6583.75,6580.0,6583.5,1562
2025-11-21 09:22:00-05:00,6582.5,6582.5,6583.0,6580.0,6580.75,1236
2025-11-21 09:23:00-05:00,6582.75,6582.75,6583.0,6581.0,6583.0,829
2025-11-21 09:24:00-05:00,6582.0,6582.0,6583.25,6580.75,6582.75,1023
2025-11-21 09:25:00-05:00,6583.0,6583.0,6584.5,6581.5,6582.25,2009
2025-11-21 09:26:00-05:00,6582.75,6582.75,6584.0,6582.0,6583.0,1007
2025-11-21 09:27:00-05:00,6580.5,6580.5,6584.5,6580.5,6582.75,1903
2025-11-21 09:28:00-05:00,6581.5,6581.5,6583.5,6580.0,6580.75,3067
2025-11-21 09:29:00-05:00,6581.5,6581.5,6584.5,6580.75,6581.25,6441
2025-11-21 09:30:00-05:00,6588.75,6588.75,6596.0,6576.75,6581.5,20480
2025-11-21 09:31:00-05:00,6578.25,6578.25,6591.5,6576.5,6588.75,11003
2025-11-21 09:32:00-05:00,6587.5,6587.5,6589.5,6575.5,6578.25,8464
2025-11-21 09:33:00-05:00,6582.0,6582.0,6588.0,6575.0,6587.5,7267
2025-11-21 09:34:00-05:00,6586.0,6586.0,6590.75,6582.0,6582.0,6901
2025-11-21 09:35:00-05:00,6582.75,6582.75,6587.75,6578.25,6586.0,6186
2025-11-21 09:36:00-05:00,6590.25,6590.25,6590.5,6579.5,6582.5,6993
